범죄대분류,범죄중분류,자영업(소계),자영업(농.임.수산업),자영업(광업),자영업(제조업),자영업(건설업),자영업(도.소매업),자영업(무역업),자영업(요식업),자영업(숙박업),자영업(유흥업),자영업(금융업),자영업(부동산업),자영업(의료보건업),자영업(차량정비업),자영업(노점),자영업(행상),자영업(기타사업),피고용자(소계),피고용자(교원(사립)),피고용자(사무원),피고용자(기술자),피고용자(점원),피고용자(공원),피고용자(운전사),피고용자(경비원),피고용자(외판원),피고용자(국공영기업체직원),피고용자(일반회사원),피고용자(금융기관직원),피고용자(유흥업종사자),피고용자(요식업종사자),피고용자(일용노동자),피고용자(기타피고용자),전문직(소계),전문직(의사),전문직(변호사),전문직(교수),전문직(종교가),전문직(언론인),전문직(예술인),전문직(기타전문직),공무원,기타(소계),기타(학생),기타(주부),기타(전경.의경),기타(공익요원),기타(기타),무직자,미상
강력범죄,살인기수,34,4,0,0,4,0,0,1,0,2,0,3,0,0,0,0,20,76,1,0,2,0,3,10,3,0,0,22,0,1,1,21,12,5,3,0,0,0,0,0,2,4,39,5,10,0,0,24,155,28
강력범죄,살인미수등,50,6,0,0,7,0,1,4,0,0,0,2,0,0,1,0,29,105,0,0,3,0,2,10,0,2,0,29,0,0,3,24,32,3,0,0,0,0,0,0,3,4,61,14,9,0,1,37,184,47
강력범죄,강도,87,2,0,0,8,0,1,0,2,7,1,4,1,1,0,0,60,179,0,2,3,0,4,10,0,1,0,62,1,1,3,33,59,5,1,0,0,1,0,0,3,1,355,239,6,0,0,110,509,66
강력범죄,강간,761,77,0,7,57,7,1,32,17,19,5,21,2,3,0,0,513,1650,4,8,27,11,26,113,7,23,2,874,6,20,46,141,342,181,18,1,5,30,0,12,115,44,1543,699,4,2,9,829,1296,638
강력범죄,유사강간,115,11,0,2,7,1,0,6,5,3,0,5,0,0,1,0,74,219,0,1,8,3,1,16,2,5,0,114,1,4,5,20,39,30,2,0,0,4,0,3,21,3,269,135,1,2,3,128,204,94
강력범죄,강제추행,2246,198,0,42,160,15,11,102,21,45,11,53,3,12,11,0,1562,4745,28,21,125,15,28,386,80,52,7,2675,14,20,124,366,804,704,113,12,10,71,16,46,436,263,3590,1294,25,2,13,2256,3321,1513
강력범죄,기타 강간 강제추행등,39,10,0,0,6,0,0,2,2,1,0,0,0,0,0,0,18,78,0,0,0,0,0,10,1,0,0,23,0,2,2,16,24,5,1,0,0,0,1,2,1,0,119,68,2,0,1,48,90,18
강력범죄,방화,168,38,0,0,23,0,0,6,1,1,0,2,0,1,0,0,96,225,0,0,13,0,1,20,1,0,0,69,0,1,5,54,61,15,2,0,0,3,1,1,8,3,207,85,13,0,0,109,511,67
절도범죄,소계,7915,1398,2,124,750,48,43,246,66,72,21,159,5,26,79,3,4873,18008,24,85,419,81,138,1246,428,155,11,7275,27,107,478,2406,5128,1347,39,3,11,144,8,115,1027,229,28183,15907,2250,5,36,9985,35272,7471
폭력범죄,상해,8542,1415,1,110,812,37,28,315,60,155,17,198,7,24,77,0,5286,13099,23,45,471,30,105,1419,196,104,7,5804,20,104,259,1875,2637,953,70,6,11,134,21,61,650,231,8484,2162,742,2,35,5543,9973,2270
폭력범죄,폭행,32429,2779,3,462,3238,145,119,1270,242,458,63,713,20,105,226,2,22584,52645,88,290,1553,168,353,6435,885,422,30,25139,88,340,991,5579,10284,3896,251,40,57,317,77,325,2829,796,33270,8200,3795,9,112,21154,39827,15585
폭력범죄,체포 감금,286,26,0,4,24,3,0,3,2,13,2,4,0,3,0,0,202,432,10,4,11,1,4,81,4,5,0,186,0,3,9,30,84,46,4,0,1,9,1,1,30,24,387,116,26,0,3,242,377,143
폭력범죄,협박,4134,484,0,63,433,15,20,118,25,47,6,103,3,20,24,0,2773,6586,17,26,191,22,25,1048,68,50,2,3026,14,20,110,770,1197,564,33,10,19,66,19,46,371,182,3865,739,338,0,11,2777,5421,1755
폭력범죄,약취 유인,34,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,29,50,0,1,2,0,1,4,0,0,0,22,1,1,0,6,12,16,4,0,0,2,0,1,9,2,75,23,10,0,0,42,83,36
폭력범죄,폭력행위등,3401,281,0,45,395,14,13,149,16,70,11,75,2,18,22,0,2290,6015,6,28,156,13,61,329,61,73,2,3002,10,54,149,632,1439,477,19,8,6,60,27,29,328,69,8366,4650,405,4,29,3278,5592,1422
폭력범죄,공갈,398,30,0,12,43,1,3,16,2,7,5,22,0,1,1,0,255,502,0,14,9,5,5,37,2,7,1,227,10,6,10,52,117,81,4,9,0,15,13,2,38,7,1105,735,30,0,0,340,913,428
폭력범죄,손괴,7374,1205,3,106,942,36,33,208,49,38,8,204,4,29,29,0,4480,10821,24,49,322,19,58,1003,218,111,8,5400,23,28,195,1238,2125,816,69,10,18,122,11,61,525,231,6867,1433,576,2,24,4832,9148,3459
지능범죄,직무유기,10,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,30,3,1,2,0,0,1,0,0,3,9,0,0,0,0,11,12,3,3,3,0,0,0,3,695,135,0,0,0,0,135,14,51
지능범죄,직권남용,11,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,24,3,1,0,0,0,0,0,0,4,14,0,0,0,1,1,7,1,2,2,0,2,0,0,766,107,1,0,0,0,106,28,78
지능범죄,증수뢰,148,10,0,2,22,5,0,2,0,2,0,3,1,0,0,0,101,135,1,4,0,0,0,3,1,0,9,101,3,2,0,1,10,33,8,2,4,0,6,1,12,158,241,2,11,0,0,228,65,27
지능범죄,통화,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,1,1,0,0,4,0,0,0,1,2,3,1,0,0,1,0,0,1,0,16,6,1,0,0,9,33,19
지능범죄,문서 인장,2772,352,1,43,470,16,19,67,10,8,14,187,5,13,4,0,1563,2383,23,79,36,15,8,102,27,40,7,1288,39,2,49,145,523,611,79,49,19,85,4,15,360,545,3937,983,261,0,6,2687,2599,2618
지능범죄,유가증권인지,30,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,0,0,0,7,0,0,0,1,4,4,0,0,0,0,0,0,4,0,16,0,1,0,0,15,32,23
지능범죄,사기,38369,2053,21,849,7403,305,474,925,172,230,179,1820,64,135,80,2,23657,40939,50,313,884,175,191,2424,262,741,12,18093,103,334,1126,4446,11785,5657,642,136,67,724,76,283,3729,501,48081,9115,2986,2,113,35865,59047,52415
지능범죄,횡령,5737,568,4,138,700,51,49,145,33,21,23,215,12,19,25,1,3733,7609,12,89,169,39,44,980,162,95,5,3088,36,35,179,670,2006,899,70,33,37,150,14,59,536,118,7704,1367,662,2,10,5663,8297,5566
지능범죄,배임,1766,161,0,59,258,8,10,23,4,5,4,131,2,9,0,0,1092,1339,6,43,8,4,1,67,7,15,7,866,54,0,7,33,221,213,20,20,9,35,2,10,117,203,2172,12,98,0,1,2061,1073,1558
풍속범죄,성풍속범죄,934,65,0,28,66,6,3,47,8,14,3,25,3,9,3,0,654,3524,3,22,76,21,31,146,30,40,3,2130,17,15,82,213,695,278,24,0,3,16,5,21,209,120,4342,2894,17,10,26,1395,2907,1441
풍속범죄,도박범죄,4857,785,5,79,489,22,10,175,24,58,7,132,3,15,7,6,3040,6374,5,42,200,13,60,1075,53,48,0,2662,4,21,143,731,1317,243,10,0,0,19,3,7,204,64,3695,350,430,1,12,2902,4795,1097
특별경제범죄,소계,13782,921,3,377,1045,191,93,337,60,238,309,268,8,42,108,1,9781,15488,46,106,369,47,71,1317,190,174,16,7543,83,51,342,1826,3307,1989,78,37,65,190,41,125,1453,251,13822,1065,1156,1,28,11572,13781,8791
마약범죄,소계,1617,597,0,11,92,3,5,37,17,28,7,34,7,1,3,0,775,2325,1,16,49,4,210,95,10,17,1,868,4,92,33,353,572,568,179,1,2,29,1,74,282,16,1725,321,200,0,13,1191,4430,949
보건범죄,소계,7286,180,0,71,58,75,34,596,171,517,3,28,56,2,138,1,5356,2789,2,22,69,13,8,41,10,38,1,885,1,327,42,99,1231,2910,1018,10,10,169,4,27,1672,61,5462,229,256,1,6,4970,2319,983
환경범죄,소계,1626,229,1,135,287,5,2,3,1,0,0,5,0,12,0,0,946,858,0,2,3,0,1,147,3,3,0,403,0,0,1,41,254,17,6,0,0,3,3,0,5,12,1328,2,15,0,1,1310,294,194
교통범죄,소계,59406,12017,4,820,4247,341,129,1797,116,135,78,956,43,215,221,6,38281,164398,418,574,2137,122,388,35731,1026,1069,52,87051,285,96,1653,9739,24057,10719,626,96,229,822,120,459,8367,3800,58493,10877,11193,6,143,36274,41830,17800
노동범죄,소계,130,17,0,1,5,0,0,5,0,5,1,0,0,0,0,0,96,120,0,0,4,0,0,5,2,0,0,53,0,4,4,7,41,11,1,1,2,3,0,1,3,2,229,0,3,0,2,224,86,35
안보범죄,소계,34,1,0,0,1,1,0,1,0,6,3,0,0,1,0,0,20,110,0,4,1,0,2,2,0,1,0,37,0,4,3,10,46,18,0,0,0,6,2,0,10,5,107,6,0,0,0,101,287,117
선거범죄,소계,368,51,0,2,16,2,3,6,3,2,0,1,0,2,0,0,280,147,0,4,2,1,2,11,1,1,3,76,2,0,2,7,35,149,7,11,4,47,28,2,50,62,527,59,44,0,0,424,179,113
병역범죄,소계,235,17,0,6,27,1,0,16,1,3,0,2,0,2,0,0,160,819,0,5,14,3,2,20,1,8,3,294,0,14,30,100,325,48,6,0,2,2,1,8,29,3,615,50,2,3,26,534,791,653
기타범죄,소계,54471,7209,10,965,4278,465,316,1743,828,2190,92,1807,88,259,429,8,33784,51646,245,382,1120,414,264,4744,420,483,52,23315,146,711,966,4085,14299,8582,1391,213,206,1000,482,447,4843,2126,57476,8804,4302,9,81,44280,40801,29437
